,Year,School,sum_PER,sum_WS,sum_WS/40,sum_PProd,sum_FT,sum_TS%,sum_PTS
72,2012,New Mexico Lobos,150.6,10.6,1.44,899.0,10.3,4.93,65.0
73,2012,Florida Gators,136.1,10.1,0.99,1086.0,13.5,4.53,70.2
74,2012,Cincinnati Bearcats,138.8,10.7,0.94,1203.0,11.4,4.25,68.1
75,2012,BYU Cougars,148.9,11.9,1.33,1229.0,17.8,4.86,78.6
76,2012,Western Kentucky Hilltoppers,128.4,7.2,0.86,1052.0,15.0,4.62,66.5
77,2012,UNC Asheville Bulldogs,153.9,13.6,1.23,1415.0,21.5,5.32,81.7
78,2012,Kansas State Wildcats,132.6,10.2,1.01,1151.0,14.2,4.61,66.0
79,2012,South Florida Bulls,126.9,9.6,0.99,1047.0,11.5,4.88,59.2
80,2012,Memphis Tigers,171.9,14.1,1.6,1142.0,13.9,5.48,81.4
81,2012,St. Bonaventure Bonnies,142.1,10.3,1.09,1137.0,17.0,4.92,71.9
82,2012,Syracuse Orange,177.8,13.8,1.46,1236.0,13.1,5.23,71.5
83,2012,Xavier Musketeers,140.2,9.2,0.97,1116.0,15.4,4.9,70.3
84,2012,Duke Blue Devils,143.6,11.1,1.13,1200.0,16.3,4.78,75.6
85,2012,Saint Louis Billikens,137.9,11.6,1.23,1094.0,13.5,4.63,68.8
86,2012,Wichita State Shockers,171.2,16.0,1.6,1332.0,16.2,5.47,77.4
87,2012,Baylor Bears,152.6,11.4,1.13,1255.0,14.5,5.16,70.6
88,2012,Louisville Cardinals,128.4,10.2,0.85,1161.0,14.2,4.41,71.3
89,2012,Indiana Hoosiers,149.4,10.3,0.99,1269.0,17.3,5.27,73.3
90,2012,San Diego State Aztecs,129.4,8.3,1.01,941.0,16.5,4.69,70.2
91,2012,Colorado State Rams,174.0,7.1,1.07,937.0,15.9,5.6,69.2
92,2012,Southern Miss Golden Eagles,149.3,9.2,1.06,1110.0,17.6,4.68,70.9
93,2012,California Golden Bears,162.8,13.1,1.41,1239.0,13.9,5.16,74.2
94,2012,Lamar Cardinals,156.0,12.7,1.29,1169.0,16.5,4.52,75.5
95,2012,New Mexico State Aggies,152.7,10.4,1.27,1087.0,16.9,4.83,79.8
96,2012,Ohio Bobcats,133.9,10.1,1.13,1039.0,16.5,4.78,65.6
97,2012,Montana Grizzlies,138.4,13.8,1.42,1110.0,14.9,5.13,70.0
98,2012,Ohio State Buckeyes,166.4,14.5,1.47,1228.0,14.9,5.08,70.8
99,2012,West Virginia Mountaineers,128.1,9.8,0.82,1213.0,15.3,4.24,68.2
100,2012,Norfolk State Spartans,139.0,9.9,1.08,1093.0,14.2,4.69,70.9
101,2012,South Dakota State Jackrabbits,177.5,15.4,1.47,1403.0,16.0,5.49,80.0
102,2012,Creighton Bluejays,154.2,11.6,1.13,1308.0,16.0,5.53,72.4
103,2012,Marquette Golden Eagles,139.3,12.0,1.07,1324.0,18.2,4.7,79.5
104,2012,Murray State Racers,156.5,13.9,1.48,1196.0,19.2,5.12,78.6
105,2012,Mississippi Valley State Delta Devils,137.2,14.1,1.36,1283.0,16.0,4.54,80.5
106,2012,Temple Owls,160.6,11.7,1.0,1225.0,15.3,5.21,79.7
107,2012,UConn Huskies,133.3,8.6,0.77,1177.0,12.8,4.54,67.2
108,2012,Lehigh Mountain Hawks,150.8,10.8,1.3,966.0,14.1,5.0,71.7
109,2012,Belmont Bruins,189.0,16.1,1.74,1385.0,16.9,5.73,80.0
110,2012,Long Beach State 49ers,159.5,14.3,1.58,1172.0,16.4,5.35,76.6
111,2012,Kentucky Wildcats,162.6,15.6,1.42,1192.0,15.3,4.36,74.8
112,2012,Michigan State Spartans,153.3,14.6,1.37,1200.0,13.5,5.07,67.8
