,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
299,274,South Florida NCAA,36,22,14,.611,9.20,7.29,12,6,14,2,5,8,2134,2037,1450,772,1765,.437,169,534,.316,421,597,.705,374,1115,423,200,137,485,552,59.7,98.6,.338,.303,.521,50.5,54.8,9.2,10.8,.485,19.1,34.2,.239,2012
308,281,Southern Mississippi NCAA,34,25,9,.735,7.79,3.61,11,5,15,0,7,6,2426,2212,1395,819,1975,.415,215,601,.358,573,779,.736,471,1133,374,205,98,377,651,64.5,107.9,.394,.304,.517,50.9,45.7,9.1,8.1,.469,13.8,37.2,.290,2012
311,284,St. Bonaventure NCAA,32,20,12,.625,8.25,2.84,10,6,11,2,6,8,2254,2081,1295,770,1687,.456,174,504,.345,540,710,.761,352,1038,444,186,133,439,592,65.0,107.0,.421,.299,.557,51.8,57.7,8.8,11.5,.508,17.8,35.5,.320,2012
318,291,Syracuse NCAA,37,34,3,.919,21.12,8.02,17,1,19,0,9,1,2742,2257,1485,1006,2156,.467,233,668,.349,495,709,.698,459,1181,564,338,255,389,574,65.2,113.3,.329,.310,.550,46.7,56.1,14.0,19.4,.521,13.5,36.3,.230,2012
319,292,Temple NCAA,32,24,8,.750,10.44,4.94,13,3,10,1,10,4,2401,2225,1305,861,1836,.469,228,574,.397,451,627,.719,333,1019,493,230,134,401,567,67.6,108.8,.342,.313,.563,48.4,57.3,10.4,10.1,.531,15.8,31.5,.246,2012
336,307,Texas NCAA,34,20,14,.588,14.00,8.12,9,9,15,3,4,7,2470,2270,1370,836,1927,.434,197,601,.328,601,820,.733,453,1118,419,231,125,426,659,66.7,108.1,.426,.312,.533,49.6,50.1,10.1,9.7,.485,15.5,38.5,.312,2012
347,318,Vanderbilt NCAA,36,25,11,.694,15.71,8.04,10,6,13,5,6,5,2615,2339,1455,885,1921,.461,307,792,.388,538,770,.699,361,1125,458,214,144,465,580,65.5,109.7,.401,.412,.572,48.6,51.8,9.0,10.4,.541,16.9,31.6,.280,2012
348,319,Vermont NCAA,36,24,12,.667,0.98,-5.19,13,3,10,4,10,6,2415,2193,1455,848,1914,.443,191,561,.340,528,714,.739,401,1166,475,221,86,445,627,63.2,105.0,.373,.293,.536,50.2,56.0,9.6,6.5,.493,16.5,34.3,.276,2012
352,321,Virginia Commonwealth NCAA,36,29,7,.806,8.79,0.63,15,3,13,1,10,3,2448,2154,1450,837,2040,.410,267,800,.334,507,740,.685,439,1115,433,379,131,411,646,65.2,103.6,.363,.392,.512,46.8,51.7,16.0,10.4,.476,14.7,33.4,.249,2012
355,324,Virginia NCAA,32,22,10,.688,12.51,4.23,9,7,13,3,7,4,2000,1735,1285,721,1576,.457,155,469,.330,403,558,.722,253,944,394,207,88,367,506,61.1,101.9,.354,.298,.543,49.9,54.6,10.5,8.2,.507,16.6,27.1,.256,2012
361,330,West Virginia NCAA,33,19,14,.576,12.13,7.53,9,9,11,5,4,6,2346,2194,1355,838,1914,.438,174,583,.298,496,739,.671,493,1135,477,210,85,422,555,64.8,106.8,.386,.305,.518,52.1,56.9,9.6,6.7,.483,15.7,40.9,.259,2012
364,333,Western Kentucky NCAA,35,16,19,.457,-2.66,0.51,7,9,8,7,3,8,2272,2383,1410,769,1952,.394,195,638,.306,539,785,.687,449,1173,385,195,146,534,691,68.4,94.2,.402,.327,.489,48.1,50.1,8.1,10.1,.444,18.7,34.1,.276,2012
366,335,Wichita State NCAA,33,27,6,.818,17.42,3.80,16,2,14,1,10,1,2545,2060,1340,912,1892,.482,230,620,.371,491,656,.748,359,1157,485,209,130,403,553,67.0,113.3,.347,.328,.577,52.8,53.2,9.3,10.4,.543,15.5,33.5,.260,2012
369,338,Wisconsin NCAA,36,26,10,.722,19.04,8.24,12,6,14,4,7,4,2304,1915,1450,797,1875,.425,285,775,.368,425,575,.739,349,1112,428,181,126,320,512,58.6,108.4,.307,.413,.536,49.8,53.7,8.5,9.1,.501,13.0,30.6,.227,2012
375,342,Xavier NCAA,36,23,13,.639,9.59,6.22,10,6,13,3,5,6,2543,2422,1455,899,1986,.453,176,501,.351,569,819,.695,378,1183,471,216,135,448,665,67.5,103.6,.412,.252,.535,49.1,52.4,8.8,10.2,.497,15.9,31.3,.287,2012
1,2,Akron NCAA,33,26,7,.788,8.11,0.18,14,2,15,1,7,4,2369,2071,1340,852,1874,.455,229,689,.332,436,678,.643,425,1145,485,231,189,458,577,66.4,106.5,.362,.368,.539,51.9,56.9,10.4,14.7,.516,17.3,37.7,.233,2013
6,7,Albany (NY) NCAA,35,24,11,.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,1405,761,1748,.435,213,575,.370,516,700,.737,345,1022,394,192,71,468,564,62.8,102.1,.400,.329,.541,48.9,51.8,8.7,5.9,.496,18.4,31.7,.295,2013
11,12,Arizona NCAA,35,27,8,.771,17.30,7.47,12,6,14,2,7,4,2570,2226,1405,880,1933,.455,269,725,.371,541,722,.749,393,1172,476,234,134,458,584,66.8,109.5,.374,.375,.565,52.7,54.1,10.0,10.2,.525,16.8,35.0,.280,2013
23,22,Belmont NCAA,33,26,7,.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,1325,906,1844,.491,279,729,.383,442,604,.732,306,966,516,322,88,440,604,68.1,112.3,.328,.395,.594,46.8,57.0,14.3,8.0,.567,17.1,29.9,.240,2013
26,25,Boise State NCAA,32,21,11,.656,9.44,5.27,9,7,14,1,5,8,2343,2095,1285,824,1790,.460,249,637,.391,446,597,.747,323,988,423,212,54,385,599,66.3,109.9,.334,.356,.565,51.1,51.3,9.9,5.4,.530,15.7,31.5,.249,2013
34,33,Bucknell NCAA,34,28,6,.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,1360,818,1807,.453,157,438,.358,484,652,.742,308,1142,455,118,139,321,498,62.6,107.0,.361,.242,.538,52.3,55.6,5.5,10.8,.496,13.2,29.3,.268,2013
36,35,Butler NCAA,36,27,9,.750,10.99,6.08,11,5,14,2,7,4,2495,2299,1445,869,1931,.450,239,688,.347,518,744,.696,419,1213,465,206,94,474,644,64.9,106.4,.385,.356,.546,53.4,53.5,8.8,7.0,.512,17.2,36.3,.268,2013
47,44,University of California NCAA,33,21,12,.636,10.65,7.77,12,6,11,5,6,5,2218,2123,1325,833,1875,.444,134,443,.302,418,585,.715,361,1134,468,192,154,417,549,66.5,100.7,.312,.236,.515,50.0,56.2,8.7,11.4,.480,16.2,32.5,.223,2013
58,55,Cincinnati NCAA,34,22,12,.647,14.46,6.93,9,9,13,5,4,5,2262,2006,1375,791,1963,.403,230,729,.316,450,696,.647,488,1219,415,240,208,432,605,64.9,101.4,.355,.371,.493,51.7,52.5,10.8,16.1,.462,15.8,38.7,.229,2013
67,62,Colorado State NCAA,35,26,9,.743,13.65,5.89,11,5,16,1,6,6,2553,2229,1405,881,1961,.449,180,532,.338,611,855,.715,493,1297,445,162,74,389,600,64.6,112.6,.436,.271,.539,56.9,50.5,7.1,6.4,.495,14.1,41.2,.312,2013
68,63,Colorado NCAA,33,21,12,.636,11.95,7.95,10,8,12,3,5,7,2230,2098,1340,775,1788,.433,178,517,.344,502,732,.686,378,1128,328,230,105,439,525,65.7,101.4,.409,.289,.522,50.2,42.3,10.5,8.6,.483,17.1,33.6,.281,2013
73,68,Creighton NCAA,36,28,8,.778,16.44,5.16,13,5,15,2,7,5,2680,2274,1440,942,1882,.501,307,742,.414,489,644,.759,300,1172,609,174,92,443,588,65.0,114.5,.342,.394,.612,51.6,64.6,7.4,6.6,.582,16.8,28.8,.260,2013
75,70,Davidson NCAA,34,26,8,.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,1365,837,1813,.462,256,694,.369,560,704,.795,306,1048,473,189,101,371,601,64.8,112.7,.388,.383,.580,49.3,56.5,8.6,7.6,.532,14.7,29.0,.309,2013
84,79,Duke NCAA,36,30,6,.833,21.43,9.54,14,4,16,0,5,4,2778,2350,1440,960,2033,.472,270,676,.399,588,796,.739,337,1119,515,232,135,383,645,68.2,113.1,.392,.333,.576,47.3,53.6,9.4,9.0,.539,13.7,28.8,.289,2013
100,93,Florida Gulf Coast NCAA,37,26,11,.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,1495,976,2112,.462,247,722,.342,497,736,.675,412,1226,523,331,139,545,649,69.5,103.8,.348,.342,.548,48.3,53.6,12.7,10.5,.521,18.1,32.2,.235,2013
103,96,Florida NCAA,37,29,8,.784,23.86,6.83,14,4,15,0,7,5,2642,2012,1480,960,2010,.478,300,794,.378,422,623,.677,381,1179,540,265,120,401,518,62.9,113.5,.310,.395,.573,51.4,56.3,11.4,9.4,.552,14.8,33.4,.210,2013
112,103,Georgetown NCAA,32,25,7,.781,15.84,7.59,14,4,16,1,6,3,2070,1806,1300,737,1627,.453,189,536,.353,407,599,.679,297,959,474,240,123,407,556,62.4,102.0,.368,.329,.541,48.4,64.3,11.8,11.3,.511,17.6,30.4,.250,2013
117,108,Gonzaga NCAA,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,1400,961,1934,.497,226,609,.371,548,777,.705,409,1195,530,277,96,393,551,65.3,118.0,.402,.315,.585,53.3,55.2,12.1,8.2,.555,14.6,37.8,.283,2013
122,113,Harvard NCAA,30,20,10,.667,3.95,0.16,11,3,13,1,6,8,2049,1924,1215,677,1425,.475,191,480,.398,504,697,.723,219,796,392,218,126,399,457,63.8,105.6,.489,.337,.583,46.3,57.9,11.2,11.0,.542,18.5,26.0,.354,2013
136,125,Illinois NCAA,36,23,13,.639,13.23,10.08,8,10,12,4,6,6,2465,2332,1445,858,2084,.412,280,873,.321,469,646,.726,427,1098,365,245,142,411,648,65.5,104.2,.310,.419,.516,46.6,42.5,10.4,11.5,.479,14.7,33.1,.225,2013
138,127,Indiana NCAA,36,29,7,.806,24.90,8.38,14,4,17,2,7,2,2831,2236,1451,951,1971,.482,257,637,.403,672,904,.743,439,1270,514,256,130,469,598,67.1,116.3,.459,.323,.590,53.3,54.0,10.5,9.3,.548,16.3,39.0,.341,2013
139,128,Iona NCAA,34,20,14,.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,1395,956,2106,.454,283,771,.367,538,689,.781,395,1094,523,222,101,421,582,70.5,111.1,.327,.366,.562,47.1,54.7,9.0,7.4,.521,14.7,32.8,.255,2013
140,129,Iowa State NCAA,35,23,12,.657,14.50,6.13,11,7,16,1,4,7,2779,2486,1420,962,2111,.456,346,924,.374,509,696,.731,422,1238,560,223,97,460,593,70.0,111.7,.330,.438,.569,51.2,58.2,9.0,7.0,.538,15.9,34.2,.241,2013
147,136,James Madison NCAA,36,21,15,.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,1450,818,1941,.421,211,628,.336,499,714,.699,365,1064,423,272,166,401,620,64.1,100.9,.368,.324,.514,46.2,51.7,11.7,13.5,.476,15.0,29.6,.257,2013
148,137,Kansas State NCAA,35,27,8,.771,13.53,6.53,14,4,15,1,7,3,2414,2115,1400,872,2002,.436,238,658,.362,432,631,.685,470,1145,557,247,129,403,631,63.6,108.4,.315,.329,.524,50.6,63.9,11.1,10.3,.495,14.9,38.7,.216,2013
149,138,Kansas NCAA,37,31,6,.838,20.79,7.54,14,4,16,1,7,3,2782,2292,1505,985,2049,.481,216,594,.364,596,809,.737,399,1354,575,260,247,517,620,67.8,109.1,.395,.290,.572,52.6,58.4,10.2,17.6,.533,17.5,33.8,.291,2013
155,142,La Salle NCAA,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,1370,871,1931,.451,262,695,.377,446,605,.737,332,958,481,263,119,390,520,66.5,107.6,.313,.360,.552,44.6,55.2,11.6,8.3,.519,15.0,29.0,.231,2013
159,146,Liberty NCAA,36,15,21,.417,-9.13,-5.80,6,10,8,7,4,11,2489,2519,1455,838,1954,.429,251,669,.375,562,770,.730,367,1164,443,197,105,478,685,66.6,102.7,.394,.342,.536,47.2,52.9,8.1,7.6,.493,17.1,29.7,.288,2013
162,149,Long Island University NCAA,34,20,14,.588,-3.21,-5.80,12,6,12,2,7,9,2677,2589,1370,915,1909,.479,246,647,.380,601,870,.691,404,1083,515,232,117,486,597,70.0,111.6,.456,.339,.576,48.6,56.3,9.7,8.3,.544,17.3,35.2,.315,2013
168,155,Louisville NCAA,40,35,5,.875,24.81,9.13,14,4,15,1,8,3,2978,2351,1625,1048,2300,.456,230,691,.333,652,920,.709,531,1385,584,430,168,495,727,66.4,110.3,.400,.300,.544,51.1,55.7,15.9,12.1,.506,15.3,38.2,.283,2013
177,162,Marquette NCAA,35,26,9,.743,14.04,8.58,14,4,16,0,5,6,2382,2191,1420,842,1844,.457,147,497,.296,551,755,.730,418,1116,483,231,123,471,590,63.4,105.9,.409,.270,.541,50.8,57.4,10.3,10.0,.496,17.6,38.3,.299,2013
184,169,Memphis NCAA,36,31,5,.861,12.26,2.70,16,0,17,1,9,1,2681,2337,1450,976,2071,.471,220,592,.372,509,771,.660,438,1243,605,321,231,523,651,69.5,106.3,.372,.286,.550,50.8,62.0,12.7,16.3,.524,17.7,35.6,.246,2013
186,171,Miami (FL) NCAA,36,29,7,.806,16.99,7.88,15,3,14,1,10,3,2509,2181,1445,895,1968,.455,254,701,.362,465,680,.684,357,1179,408,223,159,377,525,64.0,108.5,.346,.356,.548,50.1,45.6,9.6,12.3,.519,14.1,30.6,.236,2013
188,173,Michigan State NCAA,36,27,9,.750,18.64,10.55,13,5,17,1,6,5,2448,2129,1440,882,1921,.459,177,523,.338,507,710,.714,421,1241,474,289,140,489,579,64.7,105.1,.370,.272,.542,53.3,53.7,12.4,10.9,.505,17.8,36.4,.264,2013
189,174,Michigan NCAA,39,31,8,.795,21.28,10.05,12,6,17,1,5,5,2932,2467,1575,1093,2260,.484,296,769,.385,450,642,.701,416,1246,565,239,108,368,496,64.1,116.1,.284,.340,.572,49.9,51.7,9.5,7.3,.549,12.5,32.7,.199,2013
190,175,Middle Tennessee NCAA,34,28,6,.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,1370,848,1835,.462,181,480,.377,528,759,.696,407,1147,481,238,128,464,700,65.6,107.1,.414,.262,.548,52.3,56.7,10.6,11.0,.511,17.4,36.5,.288,2013
192,177,Minnesota NCAA,34,21,13,.618,16.83,10.31,8,10,15,2,3,8,2337,2115,1365,815,1838,.443,184,546,.337,523,764,.685,501,1186,503,253,187,467,605,63.5,107.8,.416,.297,.531,53.1,61.7,11.7,15.8,.493,17.5,43.6,.285,2013
195,180,Mississippi NCAA,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,1455,977,2230,.438,238,735,.324,587,866,.678,466,1251,450,297,185,395,606,70.5,108.4,.388,.330,.526,48.1,46.1,11.6,13.7,.491,13.0,33.6,.263,2013
200,183,Missouri NCAA,34,23,11,.676,15.41,6.00,11,7,17,0,2,8,2588,2268,1370,924,2015,.459,215,635,.339,525,706,.744,454,1266,472,229,119,442,567,68.2,110.7,.350,.315,.551,53.7,51.1,9.8,9.1,.512,15.8,38.7,.261,2013
203,186,Montana NCAA,32,25,7,.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,1305,760,1635,.465,219,589,.372,499,651,.767,248,905,405,187,100,391,543,63.8,107.5,.398,.360,.576,46.4,53.3,9.0,8.3,.532,16.7,25.9,.305,2013
211,194,Nevada-Las Vegas NCAA,35,25,10,.714,12.92,5.71,10,6,17,2,6,6,2498,2206,1405,872,2002,.436,227,689,.329,525,747,.703,418,1281,562,253,203,487,593,68.9,103.2,.373,.344,.530,52.0,64.4,10.5,14.6,.492,17.1,33.8,.262,2013
214,197,New Mexico State NCAA,35,24,11,.686,5.11,0.70,14,4,15,1,6,8,2355,2175,1410,832,1828,.455,137,438,.313,554,845,.656,429,1235,401,198,193,506,525,65.2,102.5,.462,.240,.528,53.1,48.2,8.6,14.1,.493,18.5,37.3,.303,2013
215,198,New Mexico NCAA,35,29,6,.829,13.28,6.63,13,3,15,1,8,4,2355,2122,1410,768,1815,.423,221,629,.351,598,829,.721,335,1123,505,220,134,402,542,64.7,103.3,.457,.347,.533,49.4,65.8,9.6,11.3,.484,15.4,29.3,.329,2013
224,205,North Carolina A&T NCAA,37,20,17,.541,-6.94,-6.30,8,8,9,3,5,12,2299,2291,1485,776,1927,.403,215,707,.304,532,809,.658,387,1166,405,261,165,564,716,67.1,92.3,.420,.367,.497,46.4,52.2,10.5,13.6,.458,19.6,30.0,.276,2013
227,208,North Carolina State NCAA,35,24,11,.686,14.32,7.17,11,7,16,1,3,7,2708,2458,1405,985,1987,.496,184,471,.391,554,813,.681,396,1186,511,227,147,433,544,68.6,112.4,.409,.237,.571,50.2,51.9,9.4,10.1,.542,15.4,34.7,.279,2013
229,210,North Carolina NCAA,36,25,11,.694,14.52,8.01,12,6,14,2,7,6,2762,2492,1445,1023,2321,.441,272,723,.376,442,655,.675,478,1254,616,303,117,433,539,71.6,106.8,.282,.312,.525,48.6,60.2,11.7,8.1,.499,14.1,34.4,.190,2013
242,221,Northwestern State NCAA,32,23,9,.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,1280,919,2007,.458,189,603,.313,532,775,.686,435,1133,489,307,151,448,619,74.4,107.5,.386,.300,.539,47.6,53.2,12.9,10.6,.505,15.9,35.3,.265,2013
244,223,Notre Dame NCAA,35,25,10,.714,13.74,7.22,11,7,17,2,4,5,2450,2222,1440,892,1929,.462,228,617,.370,438,618,.709,387,1146,587,175,132,393,495,62.0,109.8,.320,.320,.551,50.6,65.8,7.8,9.3,.522,15.0,34.0,.227,2013
246,225,Ohio State NCAA,37,29,8,.784,20.19,9.32,13,5,16,2,5,5,2599,2197,1485,928,2057,.451,227,638,.356,516,729,.708,378,1219,493,248,162,377,590,64.3,108.9,.354,.310,.541,50.5,53.1,10.4,12.9,.506,13.6,31.1,.251,2013
248,227,Oklahoma State NCAA,33,24,9,.727,15.57,6.73,13,5,15,2,5,5,2371,2079,1345,814,1854,.439,183,580,.316,560,751,.746,354,1110,398,248,155,411,598,67.3,104.8,.405,.313,.536,49.1,48.9,11.0,12.8,.488,15.7,31.3,.302,2013
249,228,Oklahoma NCAA,32,20,12,.625,11.40,7.09,12,7,12,2,5,7,2260,2122,1290,803,1847,.435,159,493,.323,495,654,.757,377,1066,394,206,89,376,557,66.8,104.9,.354,.267,.524,48.7,49.1,9.6,7.4,.478,14.8,33.2,.268,2013
253,232,Oregon NCAA,37,28,9,.757,13.82,5.77,12,6,17,2,6,5,2650,2352,1505,944,2110,.447,192,577,.333,570,809,.705,451,1285,484,314,146,555,651,68.8,102.4,.383,.273,.531,52.5,51.3,12.1,10.2,.493,18.2,35.7,.270,2013
254,233,Pacific NCAA,35,22,13,.629,1.96,1.05,13,5,13,2,4,9,2344,2238,1405,824,1839,.448,225,590,.381,471,684,.689,333,1037,510,194,46,390,621,63.3,105.4,.372,.321,.542,47.8,61.9,8.7,4.2,.509,15.3,29.5,.256,2013
258,237,Pittsburgh NCAA,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,1335,837,1775,.472,163,467,.349,445,666,.668,425,1067,537,218,131,364,575,60.4,113.2,.375,.263,.546,53.1,64.2,10.8,12.7,.517,14.8,40.4,.251,2013
280,257,Saint Louis NCAA,35,28,7,.800,14.33,4.28,13,3,17,2,6,3,2388,2036,1410,808,1812,.446,210,617,.340,562,798,.704,306,1032,453,267,109,383,603,64.5,105.0,.440,.341,.545,47.3,56.1,11.7,8.3,.504,14.9,27.4,.310,2013
281,258,Saint Mary's (CA) NCAA,35,28,7,.800,14.51,3.31,14,2,16,1,9,2,2610,2203,1405,910,1939,.469,273,728,.375,517,713,.725,422,1199,502,214,98,416,612,64.5,115.2,.368,.375,.573,54.5,55.2,9.4,7.6,.540,15.4,37.1,.267,2013
287,262,San Diego State NCAA,34,23,11,.676,13.01,6.19,9,7,14,1,4,6,2356,2077,1365,839,1916,.438,202,618,.327,476,697,.683,376,1144,425,235,155,410,497,66.6,103.7,.364,.323,.524,50.4,50.7,10.3,12.0,.491,15.4,32.3,.248,2013
300,275,South Dakota State NCAA,35,25,10,.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,1420,910,1938,.470,270,694,.389,478,627,.762,331,1125,506,175,78,365,492,64.0,113.1,.324,.358,.574,51.3,55.6,7.7,6.1,.539,14.0,29.8,.247,2013
313,286,Southern NCAA,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,1320,761,1757,.433,226,619,.365,475,689,.689,288,1035,376,244,134,359,562,65.4,103.0,.392,.352,.533,46.9,49.4,11.3,10.8,.497,14.7,26.4,.270,2013
321,294,Syracuse NCAA,40,30,10,.750,20.30,8.57,11,7,17,2,5,5,2816,2347,1610,1007,2293,.439,233,696,.335,569,843,.675,560,1380,562,360,248,495,637,65.2,107.3,.368,.304,.523,49.7,55.8,13.7,19.3,.490,15.5,38.8,.248,2013
322,295,Temple NCAA,34,24,10,.706,9.52,5.20,11,5,14,3,8,4,2456,2309,1360,851,1986,.428,243,740,.328,511,707,.723,381,1057,497,267,126,366,558,67.6,106.8,.356,.373,.529,46.5,58.4,11.6,9.5,.490,13.6,30.8,.257,2013
345,316,UCLA NCAA,35,25,10,.714,12.88,7.82,13,5,15,3,6,3,2604,2427,1420,961,2131,.451,171,514,.333,511,706,.724,387,1165,559,283,127,391,526,69.6,105.4,.331,.241,.528,46.6,58.2,11.5,8.4,.491,13.7,30.7,.240,2013
349,320,Valparaiso NCAA,34,26,8,.765,7.15,-1.13,13,3,15,2,10,5,2420,2119,1365,823,1699,.484,253,680,.372,521,713,.731,303,1008,467,232,114,486,586,65.1,108.9,.420,.400,.594,50.5,56.7,10.4,8.6,.559,19.3,31.2,.307,2013
354,323,Villanova NCAA,34,20,14,.588,10.74,8.53,10,8,12,4,6,7,2307,2214,1385,732,1760,.416,204,617,.331,639,889,.719,383,1116,413,263,114,533,651,67.4,98.8,.505,.351,.529,49.8,56.4,11.3,9.9,.474,19.6,33.0,.363,2013
355,324,Virginia Commonwealth NCAA,36,27,9,.750,16.89,4.47,12,4,15,2,8,3,2770,2323,1450,1010,2243,.450,281,800,.351,469,669,.701,479,1155,521,422,109,407,708,68.6,111.4,.298,.357,.541,48.0,51.6,17.0,8.9,.513,13.7,36.0,.209,2013
367,336,Western Kentucky NCAA,36,20,16,.556,-0.65,-1.14,10,10,11,4,4,9,2409,2364,1445,837,1959,.427,226,709,.319,509,755,.674,441,1204,400,223,115,537,691,67.0,99.5,.385,.362,.520,50.3,47.8,9.2,8.7,.485,18.8,35.1,.260,2013
369,338,Wichita State NCAA,39,30,9,.769,14.68,6.09,12,6,14,2,7,5,2720,2385,1560,954,2166,.440,259,765,.339,553,791,.699,512,1355,530,289,173,492,700,64.9,107.5,.365,.353,.535,53.2,55.6,11.4,13.5,.500,16.2,38.0,.255,2013
374,341,Wisconsin NCAA,35,23,12,.657,18.76,9.73,12,6,15,3,5,6,2274,1958,1420,823,1960,.420,259,785,.330,369,582,.634,401,1202,465,200,153,334,491,61.4,104.4,.297,.401,.508,50.8,56.5,9.2,10.8,.486,13.0,32.4,.188,2013
7,8,Albany (NY) NCAA,34,19,15,.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,1375,765,1733,.441,163,453,.360,546,728,.750,343,1175,376,184,101,428,580,63.0,103.3,.420,.261,.539,52.5,49.2,8.5,8.6,.488,17.1,31.9,.315,2014
9,10,American NCAA,33,20,13,.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,1325,748,1527,.490,207,546,.379,378,535,.707,232,986,492,198,110,464,567,60.7,103.4,.350,.358,.584,50.6,65.8,9.8,9.9,.558,20.7,26.5,.248,2014
11,12,Arizona State NCAA,33,21,12,.636,13.32,7.41,10,8,16,1,4,7,2486,2291,1345,836,1852,.451,268,688,.390,546,787,.694,281,1172,471,167,182,377,635,69.0,107.2,.425,.371,.558,48.4,56.3,7.2,12.8,.524,14.5,24.5,.295,2014
12,13,Arizona NCAA,38,33,5,.868,23.36,9.04,15,3,18,0,8,3,2769,2225,1540,996,2123,.469,204,561,.364,573,870,.659,465,1449,574,223,173,387,630,64.1,112.3,.410,.264,.546,55.1,57.6,9.0,11.5,.517,13.2,36.4,.270,2014
23,22,Baylor NCAA,38,26,12,.684,15.80,10.11,9,9,13,4,5,5,2843,2577,1540,959,2108,.455,280,725,.386,645,949,.680,525,1456,563,197,202,440,648,64.2,115.1,.450,.344,.556,54.8,58.7,8.0,14.0,.521,14.7,40.6,.306,2014
32,31,Brigham Young NCAA,35,23,12,.657,11.63,5.72,13,5,14,1,5,7,2931,2706,1425,1012,2186,.463,177,499,.355,730,1055,.692,463,1432,544,251,103,395,690,73.5,111.9,.483,.228,.545,53.3,53.8,9.6,7.3,.503,12.8,34.7,.334,2014
38,37,Cal Poly NCAA,34,14,20,.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,1360,754,1850,.408,218,654,.333,415,603,.688,377,1096,394,198,93,303,621,60.8,103.5,.326,.354,.501,48.8,52.3,9.6,8.0,.466,12.4,31.8,.224,2014
59,56,Cincinnati NCAA,34,27,7,.794,15.26,5.28,15,3,18,1,7,3,2325,1986,1360,805,1893,.425,196,585,.335,519,733,.708,457,1224,425,268,188,377,596,63.6,107.5,.387,.309,.519,53.2,52.8,12.4,16.0,.477,14.4,39.1,.274,2014
63,60,Coastal Carolina NCAA,34,21,13,.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,1375,861,1969,.437,212,628,.338,524,758,.691,434,1336,362,216,96,473,668,68.6,104.2,.385,.319,.528,53.2,42.0,9.2,8.6,.491,16.9,35.1,.266,2014
69,64,Colorado NCAA,35,23,12,.657,10.80,8.80,10,8,16,2,5,6,2457,2387,1415,814,1871,.435,181,569,.318,648,903,.718,401,1305,397,207,115,466,576,67.0,103.7,.483,.304,.534,54.3,48.8,8.7,9.0,.483,16.8,34.0,.346,2014
71,66,Connecticut NCAA,40,32,8,.800,17.23,8.63,12,6,14,3,6,4,2873,2529,1610,971,2163,.449,287,741,.387,644,829,.777,387,1389,488,281,230,457,719,65.5,108.9,.383,.343,.562,50.2,50.3,10.7,15.2,.515,15.2,30.4,.298,2014
74,69,Creighton NCAA,35,27,8,.771,18.03,7.17,14,4,16,0,7,4,2756,2376,1400,957,1927,.497,356,859,.414,486,654,.743,293,1192,614,139,49,342,618,65.3,120.6,.339,.446,.616,51.7,64.2,6.1,3.8,.589,13.3,27.7,.252,2014
77,72,Dayton NCAA,37,26,11,.703,10.55,5.34,10,6,13,4,7,4,2671,2478,1490,935,2018,.463,243,644,.377,558,819,.681,414,1289,485,222,96,442,736,65.4,109.6,.406,.319,.555,52.7,51.9,9.1,7.3,.524,15.5,34.0,.277,2014
79,74,Delaware NCAA,35,25,10,.714,2.73,-1.10,14,2,10,2,11,7,2782,2648,1405,936,2108,.444,252,727,.347,658,925,.711,385,1264,377,208,123,334,660,70.9,111.7,.439,.345,.546,48.1,40.3,8.4,8.5,.504,11.6,29.1,.312,2014
85,80,Duke NCAA,35,26,9,.743,19.51,8.48,13,5,17,0,4,5,2745,2359,1405,929,2020,.460,316,801,.395,571,783,.729,410,1207,509,244,105,328,681,65.5,119.4,.388,.397,.574,51.5,54.8,10.6,7.4,.538,12.1,34.5,.283,2014
92,85,Eastern Kentucky NCAA,34,24,10,.706,0.60,-4.34,11,5,12,2,8,6,2677,2411,1365,881,1810,.487,315,807,.390,600,798,.752,243,884,498,299,67,359,707,67.5,116.3,.441,.446,.611,44.3,56.5,13.0,6.4,.574,14.1,23.6,.331,2014
